batch_size,nrows,time,p_time
16,16,5.19599e-05,0
16,32,5.40762e-05,0
16,64,6.67029e-05,0
16,128,8.96451e-05,0
16,256,0.000136773,0
16,512,0.0002301,0
16,1024,0.000416892,0
16,2048,0.00078638,0
32,16,5.24158e-05,0
32,32,5.47838e-05,0
32,64,6.70185e-05,0
32,128,8.34989e-05,0
32,256,0.000132557,0
32,512,0.000230454,0
32,1024,0.000417321,0
32,2048,0.000788753,0
64,16,5.2607e-05,0
64,32,5.23971e-05,0
64,64,6.30968e-05,0
64,128,8.2886e-05,0
64,256,0.000133211,0
64,512,0.000230894,0
64,1024,0.000419288,0
64,2048,0.000795062,0
128,16,5.17803e-05,0
128,32,5.37461e-05,0
128,64,6.5667e-05,0
128,128,8.80758e-05,0
128,256,0.000133377,0
128,512,0.000224826,0
128,1024,0.000406412,0
128,2048,0.000793265,0
256,16,5.25371e-05,0
256,32,5.55359e-05,0
256,64,6.75859e-05,0
256,128,8.90348e-05,0
256,256,0.000135397,0
256,512,0.000229893,0
256,1024,0.000403709,0
256,2048,0.00078782,0
512,16,5.14779e-05,0
512,32,5.22003e-05,0
512,64,6.62324e-05,0
512,128,9.06004e-05,0
512,256,0.000122244,0
512,512,0.000236888,0
512,1024,0.000438305,0
512,2048,0.000814624,0
1024,16,5.3918e-05,0
1024,32,5.5009e-05,0
1024,64,7.18911e-05,0
1024,128,9.88952e-05,0
1024,256,0.00015103,0
1024,512,0.000262295,0
1024,1024,0.000491774,0
1024,2048,0.000802403,0
2048,16,5.55327e-05,0
2048,32,6.13487e-05,0
2048,64,7.68784e-05,0
2048,128,0.000106444,0
2048,256,0.000171498,0
2048,512,0.000305095,0
2048,1024,0.000555147,0
2048,2048,0.00104736,0
4096,16,7.03221e-05,0
4096,32,7.76881e-05,0
4096,64,0.000104139,0
4096,128,0.000165794,0
4096,256,0.000266294,0
4096,512,0.000530597,0
4096,1024,0.00101406,0
4096,2048,0.00177486,0
8192,16,8.60496e-05,0
8192,32,9.76144e-05,0
8192,64,0.000147462,0
8192,128,0.000250087,0
8192,256,0.000447336,0
8192,512,0.000794088,0
8192,1024,0.00164713,0
8192,2048,0.00322777,0
16384,16,0.000116442,0
16384,32,0.000143922,0
16384,64,0.000236861,0
16384,128,0.000414473,0
16384,256,0.000745417,0
16384,512,0.00136692,0
16384,1024,0.00291567,0
16384,2048,0.00541435,0
32768,16,0.000192782,0
32768,32,0.000229735,0
32768,64,0.000392245,0
32768,128,0.000769216,0
32768,256,0.00140171,0
32768,512,0.0028711,0
32768,1024,0.00568193,0
32768,2048,0.0104795,0
65536,16,0.000342976,0
65536,32,0.000442223,0
65536,64,0.000759548,0
65536,128,0.00146859,0
65536,256,0.00284208,0
65536,512,0.00543336,0
65536,1024,0.010213,0
65536,2048,0.0188066,0
131072,16,0.00063572,0
131072,32,0.000830248,0
131072,64,0.00150726,0
131072,128,0.00286359,0
131072,256,0.00541947,0
131072,512,0.0102782,0
131072,1024,0.0181207,0
131072,2048,0.0359635,0
