nrows,nrec,tile_size,time,p_time
16,1,2,0.00142801,0
32,1,2,0.00306403,0
64,1,2,0.00609536,0
128,1,2,0.0116525,0
256,1,2,0.0232583,0
512,1,2,0.0465936,0
1024,1,2,0.0911166,0
2048,1,2,0.201345,0
16,1,4,0.000458458,0
32,1,4,0.00101698,0
64,1,4,0.00217623,0
128,1,4,0.00420047,0
256,1,4,0.00841015,0
512,1,4,0.0168453,0
1024,1,4,0.0325577,0
2048,1,4,0.0678662,0
16,1,16,0.000277143,0
32,1,16,0.000486665,0
64,1,16,0.00111987,0
128,1,16,0.00215983,0
256,1,16,0.00447278,0
512,1,16,0.0092532,0
1024,1,16,0.0179066,0
2048,1,16,0.0365435,0
16,1,32,0.000485021,0
32,1,32,0.000698486,0
64,1,32,0.00129377,0
128,1,32,0.00250691,0
256,1,32,0.00496447,0
512,1,32,0.00987462,0
1024,1,32,0.0196941,0
2048,1,32,0.0393244,0
16,1,64,0.000833088,0
32,1,64,0.00145033,0
64,1,64,0.00215462,0
128,1,64,0.00424361,0
256,1,64,0.00843491,0
512,1,64,0.0168198,0
1024,1,64,0.0335915,0
2048,1,64,0.0671027,0
16,2,2,
32,2,2,
64,2,2,
128,2,2,
256,2,2,
512,2,2,
1024,2,2,
2048,2,2,
16,2,4,0.000458496,0
32,2,4,0.00101796,0
64,2,4,0.00217504,0
128,2,4,0.00420684,0
256,2,4,0.00839616,0
512,2,4,0.0167841,0
1024,2,4,0.0325553,0
2048,2,4,0.0677625,0
16,2,16,0.000244907,0
32,2,16,0.000480681,0
64,2,16,0.00111627,0
128,2,16,0.00215032,0
256,2,16,0.00445874,0
512,2,16,0.00920933,0
1024,2,16,0.0178221,0
2048,2,16,0.0363771,0
16,2,32,0.000479456,0
32,2,32,0.000532661,0
64,2,32,0.00096831,0
128,2,32,0.00183333,0
256,2,32,0.003586,0
512,2,32,0.00724938,0
1024,2,32,0.0151998,0
2048,2,32,0.030657,0
16,2,64,0.00083004,0
32,2,64,0.00145255,0
64,2,64,0.00140138,0
128,2,64,0.00266711,0
256,2,64,0.00524434,0
512,2,64,0.0104241,0
1024,2,64,0.020789,0
2048,2,64,0.0414983,0
16,3,2,
32,3,2,
64,3,2,
128,3,2,
256,3,2,
512,3,2,
1024,3,2,
2048,3,2,
16,3,4,
32,3,4,
64,3,4,
128,3,4,
256,3,4,
512,3,4,
1024,3,4,
2048,3,4,
16,3,16,0.000235531,0
32,3,16,0.00047905,0
64,3,16,0.00111562,0
128,3,16,0.00214961,0
256,3,16,0.00445807,0
512,3,16,0.00920736,0
1024,3,16,0.0178164,0
2048,3,16,0.036307,0
16,3,32,0.000479548,0
32,3,32,0.000468501,0
64,3,32,0.000834427,0
128,3,32,0.00157584,0
256,3,32,0.00309264,0
512,3,32,0.00680971,0
1024,3,32,0.0146737,0
2048,3,32,0.0295532,0
16,3,64,0.000830798,0
32,3,64,0.00145134,0
64,3,64,0.0010757,0
128,3,64,0.00199847,0
256,3,64,0.00387353,0
512,3,64,0.00760948,0
1024,3,64,0.0151323,0
2048,3,64,0.0301132,0
16,4,2,
32,4,2,
64,4,2,
128,4,2,
256,4,2,
512,4,2,
1024,4,2,
2048,4,2,
16,4,4,
32,4,4,
64,4,4,
128,4,4,
256,4,4,
512,4,4,
1024,4,4,
2048,4,4,
16,4,16,0.000242828,0
32,4,16,0.000482504,0
64,4,16,0.00111622,0
128,4,16,0.0021507,0
256,4,16,0.00446025,0
512,4,16,0.00921135,0
1024,4,16,0.0178429,0
2048,4,16,0.0363685,0
16,4,32,0.000484025,0
32,4,32,0.000454391,0
64,4,32,0.000810323,0
128,4,32,0.00152475,0
256,4,32,0.00303904,0
512,4,32,0.00677533,0
1024,4,32,0.0146395,0
2048,4,32,0.029436,0
16,4,64,0.000839925,0
32,4,64,0.00145262,0
64,4,64,0.000946069,0
128,4,64,0.00174522,0
256,4,64,0.00337058,0
512,4,64,0.00659042,0
1024,4,64,0.0131167,0
2048,4,64,0.0261253,0
