batch_size,nrows,time
16,16,4.93343e-05,0
16,32,5.43598e-05,0
16,64,5.54774e-05,0
16,128,6.20579e-05,0
16,256,7.86623e-05,0
16,512,0.000110175,0
16,1024,0.000174399,0
16,2048,0.000293995,0
32,16,4.99545e-05,0
32,32,5.35382e-05,0
32,64,5.55975e-05,0
32,128,6.50275e-05,0
32,256,7.93235e-05,0
32,512,0.000111369,0
32,1024,0.000171104,0
32,2048,0.000292559,0
64,16,5.07493e-05,0
64,32,5.08328e-05,0
64,64,5.44033e-05,0
64,128,6.19568e-05,0
64,256,8.44954e-05,0
64,512,0.000111066,0
64,1024,0.000172188,0
64,2048,0.000294982,0
128,16,4.93349e-05,0
128,32,4.98659e-05,0
128,64,5.41553e-05,0
128,128,6.56238e-05,0
128,256,8.17716e-05,0
128,512,0.000110501,0
128,1024,0.00017546,0
128,2048,0.000304524,0
256,16,5.01312e-05,0
256,32,5.02441e-05,0
256,64,5.80393e-05,0
256,128,6.58333e-05,0
256,256,8.22517e-05,0
256,512,0.000114592,0
256,1024,0.000181993,0
256,2048,0.000319115,0
512,16,5.33499e-05,0
512,32,5.55737e-05,0
512,64,5.99446e-05,0
512,128,6.97603e-05,0
512,256,8.99827e-05,0
512,512,0.000133074,0
512,1024,0.000221071,0
512,2048,0.000398247,0
1024,16,5.76613e-05,0
1024,32,5.65609e-05,0
1024,64,6.22882e-05,0
1024,128,7.62488e-05,0
1024,256,0.000102634,0
1024,512,0.000161677,0
1024,1024,0.000276691,0
1024,2048,0.000502079,0
2048,16,6.18134e-05,0
2048,32,6.08936e-05,0
2048,64,6.87108e-05,0
2048,128,8.42022e-05,0
2048,256,0.000119175,0
2048,512,0.000188807,0
2048,1024,0.000322973,0
2048,2048,0.00061222,0
4096,16,6.68827e-05,0
4096,32,6.49695e-05,0
4096,64,7.83809e-05,0
4096,128,0.000107997,0
4096,256,0.000167498,0
4096,512,0.000285204,0
4096,1024,0.000582116,0
4096,2048,0.00111334,0
8192,16,7.79138e-05,0
8192,32,7.61363e-05,0
8192,64,0.00010156,0
8192,128,0.000153663,0
8192,256,0.000259734,0
8192,512,0.000510547,0
8192,1024,0.00103339,0
8192,2048,0.00202924,0
16384,16,0.000104595,0
16384,32,0.0001027,0
16384,64,0.000150494,0
16384,128,0.00024324,0
16384,256,0.000439724,0
16384,512,0.00092193,0
16384,1024,0.00191371,0
16384,2048,0.00386469,0
32768,16,0.000158046,0
32768,32,0.000154175,0
32768,64,0.000243511,0
32768,128,0.000427605,0
32768,256,0.000839039,0
32768,512,0.00174147,0
32768,1024,0.00370986,0
32768,2048,0.00747176,0
65536,16,0.000264352,0
65536,32,0.000252675,0
65536,64,0.000432829,0
65536,128,0.000811488,0
65536,256,0.00155745,0
65536,512,0.00338786,0
65536,1024,0.00730542,0
65536,2048,0.0147432,0
131072,16,0.000473794,0
131072,32,0.000456799,0
131072,64,0.000811342,0
131072,128,0.00153562,0
131072,256,0.00305018,0
131072,512,0.00670929,0
131072,1024,0.0145378,0
131072,2048,0.0293779,0
